project_id,criterion,alternative1,alternative2,value
20250517002312,test,0,1,7
20250517002312,test2,0,1,0.14285714285714285
20250515220927,Curah Hujan,0,1,1
20250515220927,Curah Hujan,0,2,3
20250515220927,Curah Hujan,0,3,1
20250515220927,Curah Hujan,1,2,3
20250515220927,Curah Hujan,1,3,1
20250515220927,Curah Hujan,2,3,0.3333333333333333
20250515220927,Tahan terhadap hama,0,1,2
20250515220927,Tahan terhadap hama,0,2,3
20250515220927,Tahan terhadap hama,0,3,5
20250515220927,Tahan terhadap hama,1,2,2
20250515220927,Tahan terhadap hama,1,3,5
20250515220927,Tahan terhadap hama,2,3,2
20250515220927,Hasil Panen,0,1,1
20250515220927,Hasil Panen,0,2,3
20250515220927,Hasil Panen,0,3,1
20250515220927,Hasil Panen,1,2,3
20250515220927,Hasil Panen,1,3,1
20250515220927,Hasil Panen,2,3,0.3333333333333333
20250515220927,Usia Panen,0,1,3
20250515220927,Usia Panen,0,2,5
20250515220927,Usia Panen,0,3,7
20250515220927,Usia Panen,1,2,3
20250515220927,Usia Panen,1,3,5
20250515220927,Usia Panen,2,3,3
20250515220927,Umur bibit,0,1,2
20250515220927,Umur bibit,0,2,2
20250515220927,Umur bibit,0,3,1
20250515220927,Umur bibit,1,2,1
20250515220927,Umur bibit,1,3,0.5
20250515220927,Umur bibit,2,3,0.5
20250515220927,Curah Hujan,0,1,1
20250515220927,Curah Hujan,0,2,3
20250515220927,Curah Hujan,0,3,1
20250515220927,Curah Hujan,1,2,3
20250515220927,Curah Hujan,1,3,1
20250515220927,Curah Hujan,2,3,0.3333333333333333
20250515220927,Tahan terhadap hama,0,1,0.3333333333333333
20250515220927,Tahan terhadap hama,0,2,3
20250515220927,Tahan terhadap hama,0,3,5
20250515220927,Tahan terhadap hama,1,2,2
20250515220927,Tahan terhadap hama,1,3,5
20250515220927,Tahan terhadap hama,2,3,2
20250515220927,Hasil Panen,0,1,1
20250515220927,Hasil Panen,0,2,3
20250515220927,Hasil Panen,0,3,1
20250515220927,Hasil Panen,1,2,3
20250515220927,Hasil Panen,1,3,1
20250515220927,Hasil Panen,2,3,0.3333333333333333
20250515220927,Usia Panen,0,1,3
20250515220927,Usia Panen,0,2,5
20250515220927,Usia Panen,0,3,7
20250515220927,Usia Panen,1,2,3
20250515220927,Usia Panen,1,3,5
20250515220927,Usia Panen,2,3,3
20250515220927,Umur bibit,0,1,2
20250515220927,Umur bibit,0,2,2
20250515220927,Umur bibit,0,3,1
20250515220927,Umur bibit,1,2,1
20250515220927,Umur bibit,1,3,0.5
20250515220927,Umur bibit,2,3,0.5
20250515220927,Curah Hujan,0,1,1
20250515220927,Curah Hujan,0,1,1
20250515220927,Curah Hujan,0,2,3
20250515220927,Curah Hujan,0,3,1
20250515220927,Curah Hujan,1,2,3
20250515220927,Curah Hujan,1,3,1
20250515220927,Curah Hujan,2,3,0.3333333333333333
20250515220927,Tahan terhadap hama,0,1,0.3333333333333333
20250515220927,Tahan terhadap hama,0,2,3
20250515220927,Tahan terhadap hama,0,3,5
20250515220927,Tahan terhadap hama,1,2,2
20250515220927,Tahan terhadap hama,1,3,5
20250515220927,Tahan terhadap hama,2,3,2
20250515220927,Hasil Panen,0,1,1
20250515220927,Hasil Panen,0,2,3
20250515220927,Hasil Panen,0,3,1
20250515220927,Hasil Panen,1,2,3
20250515220927,Hasil Panen,1,3,1
20250515220927,Hasil Panen,2,3,0.3333333333333333
20250515220927,Usia Panen,0,1,3
20250515220927,Usia Panen,0,2,5
20250515220927,Usia Panen,0,3,7
20250515220927,Usia Panen,1,2,3
20250515220927,Usia Panen,1,3,5
20250515220927,Usia Panen,2,3,3
20250515220927,Umur bibit,0,1,2
20250515220927,Umur bibit,0,2,2
20250515220927,Umur bibit,0,3,1
20250515220927,Umur bibit,1,2,1
20250515220927,Umur bibit,1,3,0.5
20250515220927,Umur bibit,2,3,0.5
20250515220927,Curah Hujan,0,1,1
20250515220927,Curah Hujan,0,2,3
20250515220927,Curah Hujan,0,3,1
20250515220927,Curah Hujan,1,2,3
20250515220927,Curah Hujan,1,3,1
20250515220927,Curah Hujan,2,3,0.3333333333333333
20250515220927,Tahan terhadap hama,0,1,0.3333333333333333
20250515220927,Tahan terhadap hama,0,2,3
20250515220927,Tahan terhadap hama,0,3,5
20250515220927,Tahan terhadap hama,1,2,2
20250515220927,Tahan terhadap hama,1,3,5
20250515220927,Tahan terhadap hama,2,3,2
20250515220927,Hasil Panen,0,1,1
20250515220927,Hasil Panen,0,2,3
20250515220927,Hasil Panen,0,3,1
20250515220927,Hasil Panen,1,2,3
20250515220927,Hasil Panen,1,3,1
20250515220927,Hasil Panen,2,3,0.3333333333333333
20250515220927,Usia Panen,0,1,3
20250515220927,Usia Panen,0,2,5
20250515220927,Usia Panen,0,3,7
20250515220927,Usia Panen,1,2,3
20250515220927,Usia Panen,1,3,5
20250515220927,Usia Panen,2,3,3
20250515220927,Umur bibit,0,1,2
20250515220927,Umur bibit,0,2,2
20250515220927,Umur bibit,0,3,1
20250515220927,Umur bibit,1,2,1
20250515220927,Umur bibit,1,3,0.5
20250515220927,Umur bibit,2,3,0.5
20250515220927,Curah Hujan,0,1,1
20250515220927,Curah Hujan,0,2,3
20250515220927,Curah Hujan,0,3,1
20250515220927,Curah Hujan,1,2,3
20250515220927,Curah Hujan,1,3,1
20250515220927,Curah Hujan,2,3,0.3333333333333333
20250515220927,Tahan terhadap hama,0,1,0.3333333333333333
20250515220927,Tahan terhadap hama,0,2,3
20250515220927,Tahan terhadap hama,0,3,5
20250515220927,Tahan terhadap hama,1,2,2
20250515220927,Tahan terhadap hama,1,3,5
20250515220927,Tahan terhadap hama,2,3,2
