project_id,alternative,final_score,rank
20250515221036,Hibrida NASA,1.0,1
20250515221036,BIMA 19 URI,0.6408685193555735,2
20250515221036,BIMA 14 Batara,0.31068574193656184,3
20250515221036,HJ 21,0.24252082848968082,4
20250517042125,Hibrida NASA,3.3666666666666663,1
20250517042125,BIMA 19 URI,3.2,2
20250517042125,BIMA 14 Batara,3.166666666666667,3
20250517042125,HJ 21,1.9500000000000002,4
20250515220927,Hibrida NASA,0.3469337073644116,1
20250515220927,BIMA 19 URI,0.3088386073824146,2
20250515220927,HJ 21,0.19836659290318318,3
20250515220927,BIMA 14 Batara,0.14586109234999067,4
20250602121908,Hibrida NASA 29,4.699999999999999,1
20250602121908,BIMA 19 URI,3.416666666666667,2
20250602121908,BIMA 14 Batara,2.4166666666666665,3
20250602121908,HJ 21,1.2833333333333332,4
